Time (UTCG),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
3160.00,-6763.40044,-308.111563,-1778.055609,1.945314,-1.267578,-7.179967
3170.00,-6743.579484,-320.737157,-1849.665758,2.023701,-1.263933,-7.158913
3180.00,-6722.976783,-333.325669,-1921.061469,2.101853,-1.260143,-7.137028
3190.00,-6701.594727,-345.875643,-1992.234464,2.179762,-1.256206,-7.114317
3200.00,-6679.435792,-358.385629,-2063.176492,2.257418,-1.252124,-7.090781
3210.00,-6656.502549,-370.85418,-2133.879328,2.334812,-1.247898,-7.066422
3220.00,-6632.797656,-383.279854,-2204.334776,2.411935,-1.243527,-7.041245
3230.00,-6608.323861,-395.661216,-2274.534667,2.488779,-1.239013,-7.015251
3240.00,-6583.084001,-407.996832,-2344.470862,2.565335,-1.234355,-6.988444
3250.00,-6557.081001,-420.285278,-2414.135254,2.641593,-1.229555,-6.960826
3260.00,-6530.317877,-432.525132,-2483.519767,2.717545,-1.224612,-6.932402
3270.00,-6502.797731,-444.714979,-2552.616356,2.793182,-1.219528,-6.903174
3280.00,-6474.523752,-456.85341,-2621.41701,2.868495,-1.214302,-6.873145
3290.00,-6445.49922,-468.939021,-2689.913754,2.943475,-1.208937,-6.84232
3300.00,-6415.727497,-480.970415,-2758.098646,3.018115,-1.203431,-6.810702
3310.00,-6385.212036,-492.946201,-2825.963781,3.092404,-1.197787,-6.778294
3320.00,-6353.956375,-504.864994,-2893.501292,3.166335,-1.192004,-6.7451
3330.00,-6321.964135,-516.725416,-2960.703349,3.239899,-1.186083,-6.711124
3340.00,-6289.239027,-528.526096,-3027.56216,3.313087,-1.180025,-6.67637
3350.00,-6255.784843,-540.26567,-3094.069974,3.385892,-1.17383,-6.640842
3360.00,-6221.605462,-551.942779,-3160.219082,3.458303,-1.1675,-6.604544
3370.00,-6186.704846,-563.556075,-3226.001813,3.530314,-1.161035,-6.56748
3380.00,-6151.087041,-575.104214,-3291.410542,3.601916,-1.154436,-6.529655
3390.00,-6114.756176,-586.585861,-3356.437686,3.6731,-1.147703,-6.491074
3400.00,-6077.716462,-597.999689,-3421.075705,3.743858,-1.140837,-6.451739
3410.00,-6039.972193,-609.344377,-3485.317106,3.814182,-1.13384,-6.411657
3420.00,-6001.527746,-620.618615,-3549.154442,3.884064,-1.126711,-6.370831
3430.00,-5962.387576,-631.821099,-3612.58031,3.953496,-1.119452,-6.329266
3440.00,-5922.55622,-642.950533,-3675.587359,4.02247,-1.112064,-6.286968
3450.00,-5882.038297,-654.00563,-3738.168283,4.090977,-1.104547,-6.243941
3460.00,-5840.838502,-664.985113,-3800.315828,4.15901,-1.096903,-6.20019
